subject,session,task,run,bold_mni_path,confounds_path,brain_mask_path,bold_exists,confounds_exists,mask_exists,ready_for_analysis
sub-PC001,ses-01,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC001/ses-01/func/sub-PC001_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC001/ses-01/func/sub-PC001_ses-01_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC001/ses-01/func/sub-PC001_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC001,ses-02,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC001/ses-02/func/sub-PC001_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC001/ses-02/func/sub-PC001_ses-02_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC001/ses-02/func/sub-PC001_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC002,ses-01,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC002/ses-01/func/sub-PC002_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC002/ses-01/func/sub-PC002_ses-01_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC002/ses-01/func/sub-PC002_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC002,ses-02,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC002/ses-02/func/sub-PC002_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC002/ses-02/func/sub-PC002_ses-02_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC002/ses-02/func/sub-PC002_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC003,ses-01,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC003/ses-01/func/sub-PC003_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC003/ses-01/func/sub-PC003_ses-01_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC003/ses-01/func/sub-PC003_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC003,ses-02,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC003/ses-02/func/sub-PC003_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC003/ses-02/func/sub-PC003_ses-02_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC003/ses-02/func/sub-PC003_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC004,ses-01,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC004/ses-01/func/sub-PC004_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC004/ses-01/func/sub-PC004_ses-01_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC004/ses-01/func/sub-PC004_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC004,ses-02,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC004/ses-02/func/sub-PC004_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC004/ses-02/func/sub-PC004_ses-02_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC004/ses-02/func/sub-PC004_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC005,ses-01,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC005/ses-01/func/sub-PC005_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC005/ses-01/func/sub-PC005_ses-01_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC005/ses-01/func/sub-PC005_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC005,ses-02,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC005/ses-02/func/sub-PC005_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC005/ses-02/func/sub-PC005_ses-02_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC005/ses-02/func/sub-PC005_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC006,ses-01,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC006/ses-01/func/sub-PC006_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC006/ses-01/func/sub-PC006_ses-01_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC006/ses-01/func/sub-PC006_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC006,ses-02,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC006/ses-02/func/sub-PC006_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC006/ses-02/func/sub-PC006_ses-02_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC006/ses-02/func/sub-PC006_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC007,ses-01,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC007/ses-01/func/sub-PC007_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC007/ses-01/func/sub-PC007_ses-01_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC007/ses-01/func/sub-PC007_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC007,ses-02,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC007/ses-02/func/sub-PC007_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC007/ses-02/func/sub-PC007_ses-02_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC007/ses-02/func/sub-PC007_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC008,ses-01,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC008/ses-01/func/sub-PC008_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC008/ses-01/func/sub-PC008_ses-01_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC008/ses-01/func/sub-PC008_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC008,ses-02,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC008/ses-02/func/sub-PC008_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC008/ses-02/func/sub-PC008_ses-02_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC008/ses-02/func/sub-PC008_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC009,ses-01,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC009/ses-01/func/sub-PC009_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC009/ses-01/func/sub-PC009_ses-01_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC009/ses-01/func/sub-PC009_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC009,ses-02,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC009/ses-02/func/sub-PC009_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC009/ses-02/func/sub-PC009_ses-02_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC009/ses-02/func/sub-PC009_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC010,ses-01,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC010/ses-01/func/sub-PC010_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC010/ses-01/func/sub-PC010_ses-01_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC010/ses-01/func/sub-PC010_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC010,ses-02,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC010/ses-02/func/sub-PC010_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC010/ses-02/func/sub-PC010_ses-02_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC010/ses-02/func/sub-PC010_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC011,ses-01,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC011/ses-01/func/sub-PC011_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC011/ses-01/func/sub-PC011_ses-01_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC011/ses-01/func/sub-PC011_ses-01_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
sub-PC011,ses-02,task-rest,run-1,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC011/ses-02/func/sub-PC011_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC011/ses-02/func/sub-PC011_ses-02_task-rest_run-1_desc-confounds_timeseries.tsv,/Users/macbookair/ds006110/derivatives/fmriprep-22.0.2/sub-PC011/ses-02/func/sub-PC011_ses-02_task-rest_run-1_space-MNI152NLin2009cAsym_desc-brain_mask.nii.gz,False,False,False,True
